,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score,coordinates,latitude,longitude
726,flat,chintels paradiso,sector 109,1.8,8866.0,3,3,2,0.0,Moderately Old,Y68783892,1910.0,0,0,0,1,0,0,83,"28.5073° N, 77.0089° E",28.5073,77.0089
727,house,jacob pura,sector 12,0.35,9722.0,2,1,0,2.0,Old Property,Y4463709,360.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
728,flat,central park resorts,sector 48,11.25,28266.0,4,5,3+,2.0,Relatively New,Z69174760,4422.0,0,1,0,1,0,0,45,"28.4177° N, 77.0359° E",28.4177,77.0359
729,house,independent,sector 24,3.5,32407.0,2,4,3,3.0,Old Property,F59524312,1080.0,0,0,0,0,0,0,15,"28.4939° N, 77.1038° E",28.4939,77.1038
730,flat,shree vardhman victoria,sector 70,1.64,8384.0,3,5,3,3.0,Relatively New,Z69936736,1527.0,0,0,0,1,0,0,51,"28.3968° N, 77.0233° E",28.3968,77.0233
731,flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,Under Construction,E69238060,1533.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
732,flat,ansal plaza,sector 2,1.0,10000.0,2,3,0,1.0,Moderately Old,R69716994,1000.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
733,flat,corona optus,sector 37c,1.43,7185.0,3,3,3+,2.0,Relatively New,Y70044792,1834.0,0,0,0,1,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
734,flat,smart world gems,sector 89,0.9,8145.0,2,2,2,1.0,New Property,U69383626,1105.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
735,flat,rof aalayas,sector 102,0.45,8404.0,2,2,1,14.0,Relatively New,V70147230,568.0,0,0,0,0,0,1,57,"28.4750° N, 76.9715° E",28.475,76.9715
736,flat,the close north,sector 50,3.0,11516.0,3,3,3+,14.0,Old Property,U69330420,2357.0,0,0,0,1,0,2,121,"28.4178° N, 77.0628° E",28.4178,77.0628
737,house,independent,sector 25,4.31,31926.0,5,4,3,3.0,Old Property,R70186684,1350.0,0,0,0,0,0,0,40,"28.4844° N, 77.0860° E",28.4844,77.086
738,flat,sare homes,sector 92,0.6,5000.0,3,2,3,4.0,Moderately Old,M63520026,1333.0,0,0,0,0,0,2,49,"28.4079° N, 76.9153° E",28.4079,76.9153
739,house,independent,sector 37d,2.5,13157.0,5,5,3+,2.0,Relatively New,M62190402,1900.0,0,0,0,0,0,0,0,"28.4478° N, 76.9703° E",28.4478,76.9703
740,flat,tulip violet,sector 69,1.4,8928.0,3,3,1,12.0,Relatively New,Y69407304,1419.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
741,flat,shapoorji pallonji joyville gurugram,sector 102,1.35,14754.0,2,2,2,10.0,Under Construction,J50926486,828.0,0,0,0,0,0,0,22,"28.4750° N, 76.9715° E",28.475,76.9715
742,flat,mrg skyline,sector 106,1.82,13392.0,3,2,2,4.0,Relatively New,H69258514,1359.0,0,0,0,0,0,0,0,"28.5007° N, 77.0003° E",28.5007,77.0003
743,flat,ramsons kshitij,sector 95,0.28,3650.0,2,2,2,5.0,New Property,O48320397,694.0,0,0,0,0,1,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
744,flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,D68585736,833.0,0,0,0,0,0,2,26,"28.4738° N, 77.0107° E",28.4738,77.0107
745,flat,godrej nature plus,sector 33,1.65,8266.0,3,3,3,2.0,Under Construction,T70164984,2218.0,0,0,0,1,0,0,37,"28.4420° N, 77.0207° E",28.442,77.0207
746,flat,pareena coban residences,sector 99a,1.35,6761.0,3,5,3,6.0,New Property,R50041892,1807.0,0,0,0,1,1,0,60,"28.4561° N, 76.9542° E",28.4561,76.9542
747,flat,belgravia resort residences,sector 48,3.45,18459.0,3,3,3,14.0,Moderately Old,R69770990,1869.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
748,flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,19.0,New Property,I69400446,4842.0,1,1,1,1,0,2,160,"28.4484° N, 77.0210° E",28.4484,77.021
749,flat,tata primanti,sector 72,3.4,15560.0,3,4,3+,9.0,Moderately Old,R68296740,2185.0,0,0,0,1,0,0,38,"28.4225° N, 77.0211° E",28.4225,77.0211
750,flat,godrej nature plus,sector 33,1.15,11558.0,2,2,2,15.0,Under Construction,C69218264,103.0,0,0,0,0,0,0,38,"28.4420° N, 77.0207° E",28.442,77.0207
751,flat,ss the leaf,sector 85,1.09,6661.0,2,2,3,5.0,Relatively New,M69584914,1475.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
752,house,emaar mgf marbella,sector 66,12.0,37037.0,4,4,3+,3.0,Relatively New,V68413060,3240.0,1,1,1,1,0,2,160,"28.3925° N, 77.0541° E",28.3925,77.0541
753,flat,m3m latitude,sector 65,4.6,26791.0,3,3,3,7.0,New Property,C69594442,1717.0,1,1,1,1,0,0,115,"28.4030° N, 77.0690° E",28.403,77.069
754,flat,m3m soulitude,sector 89,1.25,8784.0,3,3,0,4.0,New Property,Q68653922,1423.0,0,0,0,0,0,0,61,"28.4253° N, 76.9439° E",28.4253,76.9439
755,house,independent,sector 26,4.5,33333.0,5,5,3+,2.0,Old Property,V64373068,1350.0,0,0,0,0,0,0,7,"28.4757° N, 77.1032° E",28.4757,77.1032
756,flat,dlf new town heights,sector 86,1.4,5942.0,4,4,3+,20.0,Relatively New,N44044469,2132.0,0,1,0,1,0,0,65,"28.3986° N, 76.9384° E",28.3986,76.9384
757,flat,nbcc heights,sector 89,0.75,6578.0,2,2,2,6.0,Moderately Old,R69736118,1032.0,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
758,flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,E69230140,1765.0,0,0,0,1,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
759,flat,sare crescent parc royal greens phase 1,sector 92,1.25,5832.0,4,4,3,20.0,Relatively New,S59340330,1939.0,0,0,0,1,0,0,60,"28.4079° N, 76.9153° E",28.4079,76.9153
760,flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Relatively New,J68766492,1615.0,0,0,0,1,1,2,174,"28.4079° N, 76.9153° E",28.4079,76.9153
761,flat,ireo victory valley,sector 67,3.05,16266.0,3,4,2,35.0,Relatively New,K69604018,2200.0,1,0,0,1,0,2,165,"28.3859° N, 77.0608° E",28.3859,77.0608
762,flat,pivotal devaan,sector 84,0.36,7588.0,2,2,1,9.0,Relatively New,Y69866580,531.0,0,0,1,0,0,1,80,"28.3979° N, 76.9736° E",28.3979,76.9736
763,flat,dlf new town heights,sector 86,1.3,6735.0,3,3,3,12.0,Moderately Old,N69323318,1747.0,0,0,0,1,0,2,165,"28.3986° N, 76.9384° E",28.3986,76.9384
764,flat,chd avenue,sector 71,1.25,7171.0,3,4,2,7.0,Relatively New,J69644050,1577.0,0,0,0,1,0,2,160,"28.4104° N, 77.0281° E",28.4104,77.0281
765,flat,shree vardhman flora,sector 90,0.65,4814.0,2,2,3,6.0,Relatively New,Y69230080,1222.0,1,0,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
766,flat,godrej,sector 79,1.41,9000.0,2,2,3,3.0,New Property,J57709348,1747.0,1,0,0,0,0,0,104,"28.3624° N, 76.9787° E",28.3624,76.9787
767,house,independent,sector 26,15.0,33333.0,4,4,3,3.0,Moderately Old,E70408864,4500.0,0,0,1,1,0,2,36,"28.4757° N, 77.1032° E",28.4757,77.1032
768,house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Relatively New,K68014772,7331.0,0,0,0,0,0,0,59,"28.5134° N, 76.9830° E",28.5134,76.983
769,house,huda housing board colony,sector 31,4.6,31507.0,2,4,3+,3.0,Old Property,J68546094,1460.0,0,0,0,0,1,0,8,"28.4528° N, 77.0498° E",28.4528,77.0498
770,flat,ambience creacions,sector 22,2.55,13709.0,3,3,3,5.0,Relatively New,W70124530,1860.0,0,0,0,0,0,1,49,"28.5072° N, 77.0640° E",28.5072,77.064
771,house,independent,sector 105,1.2,10122.0,3,2,1,2.0,Old Property,M68435552,1185.51,0,0,0,0,0,0,9,"28.4952° N, 77.0114° E",28.4952,77.0114
772,flat,krrish florence estate,sector 70,1.25,6703.0,3,3,3,18.0,Under Construction,H33897213,1688.0,0,0,0,0,0,0,51,"28.3968° N, 77.0233° E",28.3968,77.0233
773,flat,pyramid elite,sector 86,0.45,7846.0,2,2,1,12.0,Under Construction,Y62774964,637.0,0,0,0,0,0,0,30,"28.3986° N, 76.9384° E",28.3986,76.9384
774,house,ansal sushant lok plots,sector 43,7.0,25926.0,5,5,3+,3.0,Relatively New,P69749546,2700.0,1,1,0,1,0,2,41,"28.4629° N, 77.0772° E",28.4629,77.0772
