property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,super_builtup_area,builtup_area,carpet_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
house,independent,sector 12,1.4,8702.0,1609.0,Plot area 166(138.8 sq.m.),2,2,1,2.0,North-East,Undefined,Y67853988,,166.0,,0,0,0,0,0,0,0
house,international city by sobha phase 2,sector 109,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,2.0,North-West,Undefined,P70106010,,5400.0,,0,0,0,1,0,0,49
flat,ramprastha the edge towers,sector 37d,1.0,5649.0,1770.0,Super Built up area 1770(164.44 sq.m.),3,3,3+,13.0,,Undefined,U68986472,1770.0,,,0,0,0,0,0,0,38
flat,godrej nature plus,sector 33,1.75,8768.0,1996.0,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,,Undefined,S68634010,,1996.0,,0,0,0,0,0,0,56
flat,orris carnation residency,sector 85,0.55,5788.0,950.0,Super Built up area 1115(103.59 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,5.0,North-East,Undefined,I64885268,1115.0,1050.0,950.0,0,0,0,0,1,0,174
house,smart world gems,sector 89,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.),3,3,2,1.0,,Under Construction,A68634320,,1423.0,,1,0,0,0,1,0,45
flat,bestech park view residency,sector 2,1.51,7890.0,1914.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,8.0,West,Undefined,Y70072328,1920.0,,,0,0,0,1,0,0,92
house,international city by sobha phase 2,sector 109,12.5,26667.0,4687.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Undefined,I69923532,,4500.0,,1,1,1,1,0,0,63
flat,m3m sierra 68,sector 68,1.1,8986.0,1224.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3,1.0,North-East,Undefined,P69235928,1224.0,1150.0,830.0,0,0,0,0,0,2,127
flat,godrej aria,sector 79,1.3,8843.0,1470.0,Super Built up area 1470(136.57 sq.m.),2,2,2,7.0,,Undefined,I69290950,1470.0,,,1,0,0,0,0,2,116
flat,dhoot time residency,sector 63,3.0,18271.0,1642.0,Built Up area: 1642 (152.55 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,14.0,,Undefined,P69192318,,1642.0,1500.0,0,0,0,1,0,2,0
